name;language_country;language;id
Christoph;de-DE;DE;de-DE-ChristophNeural
Christopher;en-US;EN;en-US-ChristopherNeural
Elvira;es-ES;ES;es-ES-ElviraNeural
Ilir;sq-AL;AL;sq-AL-IlirNeural
Hamed;ar-SA;AR;ar-SA-HamedNeural
Hayk;hy-AM;HY;hy-AM-HaykNeural
Babek;az-AZ;AZ;az-AZ-BabekNeural
Pradeep;bn-BD;BN;bn-BD-PradeepNeural
Ander;eu-ES;EU;eu-ES-AnderNeural
Thiha;my-MM;MY;my-MM-ThihaNeural
Goran;bs-BA;BS;bs-BA-GoranNeural
Borislav;bg-BG;BG;bg-BG-BorislavNeural
Yunye;zh-CN;Zh;zh-CN-YunyeNeural
Harri;fi-FI;FI;fi-FI-HarriNeural
Alain;fr-FR;FR;fr-FR-AlainNeural
Nestoras;el-GR;EL;el-GR-NestorasNeural
Calimero;it-IT;IT;it-IT-CalimeroNeural
Keita;ja-JP;JA;ja-JP-KeitaNeural
Srecko;hr-HR;HR;hr-HR-SreckoNeural
InJoon;ko-KR;KO;ko-KR-InJoonNeural
Chanthavong;lo-LA;LO;lo-LA-ChanthavongNeural
Nils;lv-LV;LV;lv-LV-NilsNeural
Leonas;lt-LT;LT;lt-LT-LeonasNeural
Antonin;cs-CZ;CZ;cs-CZ-AntoninNeural
Ahmet;tr-TR;TR;tr-TR-AhmetNeural
Ostap;uk-UA;UK;uk-UA-OstapNeural
NamMinh;vi-VN;VN;vi-VN-NamMinhNeural
Tamas;hu-HU;HU;hu-HU-TamasNeural
Daudi;sw-TZ;SW;sw-TZ-DaudiNeural
Colette;nl_NL;NL;nl-NL-ColetteNeural
Marek;pl-PL;PL;pl-PL-MarekNeural‚
